record_id,file_path,record_path,record_kind,classification,source_type,data_class,production_status,verification_status,has_source_evidence,has_catalog_manager_disposition,production_access_allowed,reasons,blocking_issues
$,data/audit/college-football-27/templates/audit-session-template.json,$,template_record,PLACEHOLDER,researchDraft,,,,false,false,false,sourceType:researchDraft,placeholderToken
REPLACE_WITH_STABLE_INTERNAL_ID,data/audit/college-football-27/templates/catalog-item-template.json,$,catalog_record,PLACEHOLDER,researchDraft,,,unverified,true,false,false,sourceType:researchDraft;verification:unverified,placeholderToken
$.auditTrail,data/audit/college-football-27/templates/catalog-item-template.json,$.auditTrail,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.captureConditions,data/audit/college-football-27/templates/catalog-item-template.json,$.captureConditions,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.catalogVersion,data/audit/college-football-27/templates/catalog-item-template.json,$.catalogVersion,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.geometryMeasurements,data/audit/college-football-27/templates/catalog-item-template.json,$.geometryMeasurements,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.geometryMeasurements.faceWidthRatio,data/audit/college-football-27/templates/catalog-item-template.json,$.geometryMeasurements.faceWidthRatio,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.humanAnnotations,data/audit/college-football-27/templates/catalog-item-template.json,$.humanAnnotations,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.navigationInstructions[0],data/audit/college-football-27/templates/catalog-item-template.json,$.navigationInstructions[0],template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$.requiredAngles,data/audit/college-football-27/templates/catalog-item-template.json,$.requiredAngles,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$,data/audit/college-football-27/templates/catalog-manifest-template.json,$,template_record,PLACEHOLDER,researchDraft,,,,false,false,false,sourceType:researchDraft,placeholderToken
$.catalogVersion,data/audit/college-football-27/templates/catalog-manifest-template.json,$.catalogVersion,template_record,PLACEHOLDER,,,,,false,false,false,,placeholderToken
$,data/fixtures/test-only/catalog-image-measurement/fixture-package.json,$,fixture_record,TEST_FIXTURE,testFixture,,,,false,false,false,sourceType:testFixture,fixtureRecord
$.evidenceAssets[0],data/fixtures/test-only/catalog-image-measurement/fixture-package.json,$.evidenceAssets[0],fixture_record,TEST_FIXTURE,testFixture,,,verified,true,false,false,sourceType:testFixture;verification:verified,fixtureRecord
TEST_ONLY_CATALOG_IMAGE_MEASUREMENT_HEAD_001,data/fixtures/test-only/catalog-image-measurement/fixture-package.json,$.items[0],catalog_record,TEST_FIXTURE,testFixture,,,verified,true,true,false,sourceType:testFixture;verification:verified,fixtureRecord
$.items[0].catalogVersion,data/fixtures/test-only/catalog-image-measurement/fixture-package.json,$.items[0].catalogVersion,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$,data/fixtures/test-only/evidence-manifest/approved/CF27_PS5_RTG_HEAD_001_leftProfile_1.0.0_patch-test_20260712.json,$,fixture_record,TEST_FIXTURE,testFixture,,,,false,false,false,sourceType:testFixture,fixtureRecord
$,data/fixtures/test-only/evidence-manifest/metadata.json,$,fixture_record,TEST_FIXTURE,testFixture,,,,false,false,false,sourceType:testFixture,fixtureRecord
$.files,data/fixtures/test-only/evidence-manifest/metadata.json,$.files,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
environment-test-only,data/fixtures/test-only/evidence-manifest/metadata.json,$.files.data/fixtures/test-only/evidence-manifest/approved/CF27_PS5_RTG_HEAD_001_front_1.0.0_patch-test_20260712.txt,environment_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
creation-path-test-only,data/fixtures/test-only/evidence-manifest/metadata.json,$.files.data/fixtures/test-only/evidence-manifest/approved/CF27_PS5_RTG_HEAD_001_front_1.0.0_patch-test_20260712.txt.captureMetadata,creation_path_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
environment-test-only,data/fixtures/test-only/evidence-manifest/metadata.json,$.files.data/fixtures/test-only/evidence-manifest/approved/CF27_PS5_RTG_HEAD_001_leftProfile_1.0.0_patch-test_20260712.json,environment_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
creation-path-test-only,data/fixtures/test-only/evidence-manifest/metadata.json,$.files.data/fixtures/test-only/evidence-manifest/approved/CF27_PS5_RTG_HEAD_001_leftProfile_1.0.0_patch-test_20260712.json.captureMetadata,creation_path_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$,fixture_record,TEST_FIXTURE,testFixture,,,complete,false,false,false,sourceType:testFixture;verification:complete,fixtureRecord
$.catalogVersion,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.catalogVersion,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.consentRecord,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.consentRecord,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.facialHairChoice,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.facialHairChoice,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.hairChoice,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.hairChoice,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.rankedHeadChoices[0],data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.rankedHeadChoices[0],fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.rankedHeadChoices[1],data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.rankedHeadChoices[1],fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.rankedHeadChoices[2],data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.rankedHeadChoices[2],fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.rawMediaDeletionState,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.rawMediaDeletionState,fixture_record,TEST_FIXTURE,,,,deleted,false,false,false,verification:deleted,fixtureRecord
$.referenceViewCompleteness,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.referenceViewCompleteness,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.resultTimestamps,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.resultTimestamps,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.reviewerAgreement,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.reviewerAgreement,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.subjectPreferredResult,data/fixtures/test-only/manual-matching-study/synthetic-study-result.json,$.subjectPreferredResult,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$,data/fixtures/test-only/matching/synthetic-catalog.json,$,fixture_record,TEST_FIXTURE,testFixture,,,,false,false,false,sourceType:testFixture,fixtureRecord
$.catalogVersion,data/fixtures/test-only/matching/synthetic-catalog.json,$.catalogVersion,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
synthetic-match-alpha,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0],catalog_record,TEST_FIXTURE,testFixture,,,verified,true,false,false,sourceType:testFixture;verification:verified,fixtureRecord
$.items[0].catalogVersion,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].catalogVersion,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].geometryMeasurements,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].geometryMeasurements,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].geometryMeasurements.eyeSpacingRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].geometryMeasurements.eyeSpacingRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
